Command,Variation,Intent
"please tell me the current time","time inquiry","ask time"
"what's the time right now","time inquiry","ask time"
"do you know the time","time inquiry","ask time"
"tell me the time please","time inquiry","ask time"
"what's the current time","time inquiry","ask time"
"how late is it","time inquiry","ask time"
"what time do we have","time inquiry","ask time"
"can you check the time for me","time inquiry","ask time"
"give me the time now","time inquiry","ask time"
"please let me know the time","time inquiry","ask time"
"what is the time","time inquiry","ask time"
"how much time is it","time inquiry","ask time"
"what hour is it","time inquiry","ask time"
"what time does your clock say","time inquiry","ask time"
"show me the time","time inquiry","ask time"
"what time do you have","time inquiry","ask time"
"please tell me what time it is","time inquiry","ask time"
"can you tell me what the time is","time inquiry","ask time"
"what is the current hour","time inquiry","ask time"
"do you have the time","time inquiry","ask time"
"how many hours is it","time inquiry","ask time"
"what time should I set","time inquiry","ask time"
"let me know the time please","time inquiry","ask time"
"what's the hour right now","time inquiry","ask time"
"please give me the time","time inquiry","ask time"
"could you tell me the time","time inquiry","ask time"
"how late is it right now","time inquiry","ask time"
"what time is showing","time inquiry","ask time"
"can you find out the time","time inquiry","ask time"
"what's the time on your clock","time inquiry","ask time"
"let me know what time it is","time inquiry","ask time"
"what time is it in my location","time inquiry","ask time"
"can you tell me the hour","time inquiry","ask time"
"please check the time for me","time inquiry","ask time"
"what is the present time","time inquiry","ask time"
"how far along is the day","time inquiry","ask time"
"give me the current hour","time inquiry","ask time"
"what's the current hour","time inquiry","ask time"
"what's the time on your device","time inquiry","ask time"
"what is the exact time","time inquiry","ask time"
"can you show me the current time","time inquiry","ask time"
"how is the time looking","time inquiry","ask time"
"what is the time right now","time inquiry","ask time"
"can you inform me of the time","time inquiry","ask time"
"what is today's time","time inquiry","ask time"
"what time is it in my timezone","time inquiry","ask time"
"let me know what time is it","time inquiry","ask time"
"What's the weather like today?","weather inquiry","ask weather"
"Can you tell me the weather forecast?","weather inquiry","ask weather"
"How's the weather in my city?","weather inquiry","ask weather"
"Is it going to rain today?","weather inquiry","ask weather"
"What's the temperature outside?","weather inquiry","ask weather"
"Tell me if I need an umbrella today.","weather inquiry","ask weather"
"What will the weather be like this weekend?","weather inquiry","ask weather"
"Do I need to wear a jacket today?","weather inquiry","ask weather"
"What's the current weather in [City]?","weather inquiry","ask weather"
"Can you give me the weather report for today?","weather inquiry","ask weather"
"How hot is it right now?","weather inquiry","ask weather"
"What's the weather expected to be like tomorrow?","weather inquiry","ask weather"
"Is it snowing outside?","weather inquiry","ask weather"
"What's the humidity level today?","weather inquiry","ask weather"
"Give me the weather details for [City].","weather inquiry","ask weather"
"Can you check the weather for me?","weather inquiry","ask weather"
"What's the weather going to be like later?","weather inquiry","ask weather"
"Will it be sunny or cloudy today?","weather inquiry","ask weather"
"Tell me about the weather for my area.","weather inquiry","ask weather"
"What's the weather like this afternoon?","weather inquiry","ask weather"
"Will there be thunderstorms today?","weather inquiry","ask weather"
"What's the weather prediction for this week?","weather inquiry","ask weather"
"How's the weather looking for my vacation?","weather inquiry","ask weather"
"What's the wind speed like right now?","weather inquiry","ask weather"
"Can you find out if it’s going to be warm today?","weather inquiry","ask weather"
"What's the weather like for a picnic today?","weather inquiry","ask weather"
"Are there any weather warnings today?","weather inquiry","ask weather"
"Is the weather nice outside?","weather inquiry","ask weather"
"Can you tell me the forecast for the next few days?","weather inquiry","ask weather"
"What's the weather in [City] right now?","weather inquiry","ask weather"
"How's the weather for a road trip today?","weather inquiry","ask weather"
"Will it be foggy tomorrow?","weather inquiry","ask weather"
"What's the air quality like today?","weather inquiry","ask weather"
"Tell me the weather for the next hour.","weather inquiry","ask weather"
"Is it a good day for a hike?","weather inquiry","ask weather"
"What's the UV index like today?","weather inquiry","ask weather"
"Can you tell me about the weather for my location?","weather inquiry","ask weather"
"What's the weather situation for tonight?","weather inquiry","ask weather"
"Will it be chilly in the evening?","weather inquiry","ask weather"
"What's the forecast for the rest of the day?","weather inquiry","ask weather"
"How’s the weather looking for my flight?","weather inquiry","ask weather"
"What are the conditions like outside?","weather inquiry","ask weather"
"Can you tell me if it's warm enough for shorts?","weather inquiry","ask weather"
"What's the expected weather for this month?","weather inquiry","ask weather"
"How do I dress for the weather today?","weather inquiry","ask weather"
"What's the chance of rain today?","weather inquiry","ask weather"
"Is it a good day to go to the beach?","weather inquiry","ask weather"
"What's the weather looking like for tomorrow morning?","weather inquiry","ask weather"
"Can you get me the weather alerts for today?","weather inquiry","ask weather"
"What's the current weather status?","weather inquiry","ask weather"
"Can you search for the latest news on Google?","search inquiry","search google"
"Please search Google for information about [topic].","search inquiry","search google"
"I want to search Google for the best pizza places nearby.","search inquiry","search google"
"Search Google for the weather today.","search inquiry","search google"
"Can you search Google for the definition of [word]?","search inquiry","search google"
"Search Google to find out more about [person].","search inquiry","search google"
"Please search Google for travel tips to [destination].","search inquiry","search google"
"Can you search Google for the top movies this year?","search inquiry","search google"
"I need you to search Google for recipes with chicken.","search inquiry","search google"
"Search Google for the nearest gas station.","search inquiry","search google"
"Can you search Google for job openings in my area?","search inquiry","search google"
"Search Google for the best smartphones available.","search inquiry","search google"
"Please search Google for health benefits of green tea.","search inquiry","search google"
"I want to search Google for tutorials on Python programming.","search inquiry","search google"
"Can you search Google for online courses in data science?","search inquiry","search google"
"Search Google for the latest sports scores.","search inquiry","search google"
"Please search Google for how to fix a leaky faucet.","search inquiry","search google"
"Can you search Google for upcoming concerts in my city?","search inquiry","search google"
"Search Google for the best books of the year.","search inquiry","search google"
"I need you to search Google for local events this weekend.","search inquiry","search google"
"Can you search Google for tips on saving money?","search inquiry","search google"
"Please search Google for information about renewable energy.","search inquiry","search google"
"Search Google for advice on studying effectively.","search inquiry","search google"
"I want to search Google for popular podcasts.","search inquiry","search google"
"Can you search Google for ways to improve my resume?","search inquiry","search google"
"Please search Google for interesting facts about space.","search inquiry","search google"
"Can you search Google for what to do in case of an emergency?","search inquiry","search google"
"Search Google for the best online shopping sites.","search inquiry","search google"
"I need you to search Google for local hiking trails.","search inquiry","search google"
"Can you search Google for how to start a blog?","search inquiry","search google"
"Please search Google for advice on public speaking.","search inquiry","search google"
"Search Google for places to visit in Europe.","search inquiry","search google"
"I want to search Google for tips on digital marketing.","search inquiry","search google"
"Can you search Google for common interview questions?","search inquiry","search google"
"Please search Google for the history of the internet.","search inquiry","search google"
"Search Google for DIY home improvement ideas.","search inquiry","search google"
"Can you search Google for health and wellness blogs?","search inquiry","search google"
"I want to search Google for best practices in project management.","search inquiry","search google"
"Please search Google for how to stay motivated.","search inquiry","search google"
"Can you search Google for travel advisories for [country]?","search inquiry","search google"
"Search Google for tips on managing stress.","search inquiry","search google"
"I need you to search Google for science experiments at home.","search inquiry","search google"
"Can you search Google for best practices in coding?","search inquiry","search google"
"Please search Google for the latest technology trends.","search inquiry","search google"
"Search Google for historical landmarks in [city].","search inquiry","search google"
"I want to search Google for ways to boost my productivity.","search inquiry","search google"
"Can you search Google for inspirational quotes?","search inquiry","search google"
"Search Google for the meaning of life.","search inquiry","search google"
"Please search Google for how to meditate effectively.","search inquiry","search google"
"Can you search Google for tips on writing a novel?","search inquiry","search google"
"Search Google for ideas for my next vacation.","search inquiry","search google"
"I want to search Google for how to create a website.","search inquiry","search google"
"Can you search for the latest music videos on YouTube?","search inquiry","search youtube"
"Please search YouTube for tutorials on [topic].","search inquiry","search youtube"
"I want to search YouTube for funny cat videos.","search inquiry","search youtube"
"Search YouTube for workout routines you can do at home.","search inquiry","search youtube"
"Can you search YouTube for cooking recipes?","search inquiry","search youtube"
"Please search YouTube for travel vlogs about [destination].","search inquiry","search youtube"
"Search YouTube for the best motivational speeches.","search inquiry","search youtube"
"I need you to search YouTube for gaming live streams.","search inquiry","search youtube"
"Can you search YouTube for science experiments for kids?","search inquiry","search youtube"
"Search YouTube for how to play the guitar.","search inquiry","search youtube"
"Please search YouTube for documentary films.","search inquiry","search youtube"
"I want to search YouTube for makeup tutorials.","search inquiry","search youtube"
"Can you search YouTube for the latest tech reviews?","search inquiry","search youtube"
"Search YouTube for DIY home improvement projects.","search inquiry","search youtube"
"Please search YouTube for relaxing music playlists.","search inquiry","search youtube"
"Can you search YouTube for educational videos on history?","search inquiry","search youtube"
"Search YouTube for dance choreography tutorials.","search inquiry","search youtube"
"I want to search YouTube for live sports events.","search inquiry","search youtube"
"Please search YouTube for animal documentaries.","search inquiry","search youtube"
"Can you search YouTube for tips on photography?","search inquiry","search youtube"
"Search YouTube for the best comedy sketches.","search inquiry","search youtube"
"I need you to search YouTube for fashion hauls.","search inquiry","search youtube"
"Can you search YouTube for beginner yoga classes?","search inquiry","search youtube"
"Please search YouTube for craft ideas for kids.","search inquiry","search youtube"
"Search YouTube for how to learn a new language.","search inquiry","search youtube"
"I want to search YouTube for travel guides.","search inquiry","search youtube"
"Can you search YouTube for motivational quotes videos?","search inquiry","search youtube"
"Please search YouTube for upcoming movie trailers.","search inquiry","search youtube"
"Search YouTube for the best ASMR videos.","search inquiry","search youtube"
"I want to search YouTube for cooking challenges.","search inquiry","search youtube"
"Can you search YouTube for educational channels?","search inquiry","search youtube"
"Search YouTube for how to fix a car issue.","search inquiry","search youtube"
"Please search YouTube for tech tutorials on coding.","search inquiry","search youtube"
"Can you search YouTube for the latest gaming news?","search inquiry","search youtube"
"Search YouTube for health and fitness advice.","search inquiry","search youtube"
"I want to search YouTube for travel tips.","search inquiry","search youtube"
"Please search YouTube for documentaries on climate change.","search inquiry","search youtube"
"Can you search YouTube for workout challenges?","search inquiry","search youtube"
"Search YouTube for how to play a new video game.","search inquiry","search youtube"
"I need you to search YouTube for famous speeches.","search inquiry","search youtube"
"Can you search YouTube for life hacks?","search inquiry","search youtube"
"Search YouTube for the best children's cartoons.","search inquiry","search youtube"
"I want to search YouTube for technology innovations.","search inquiry","search youtube"
"Please search YouTube for art tutorials.","search inquiry","search youtube"
"Can you search YouTube for the history of [topic]?","search inquiry","search youtube"
"Search YouTube for travel destinations to visit.","search inquiry","search youtube"
"I want to search YouTube for the best podcasts.","search inquiry","search youtube"
"Please search YouTube for advice on self-improvement.","search inquiry","search youtube"
"Can you search YouTube for the top music charts?","search inquiry","search youtube"
"Search YouTube for how to create digital art.","search inquiry","search youtube"
"Please search YouTube for online learning resources.","search inquiry","search youtube"
"Can you take a screenshot for me?","screenshot request","take screenshot"
"Please capture the screen now.","screenshot request","take screenshot"
"I need you to take a screenshot of this window.","screenshot request","take screenshot"
"Take a screenshot of my desktop, please.","screenshot request","take screenshot"
"Can you grab a screenshot of what I'm seeing?","screenshot request","take screenshot"
"Please take a picture of my screen.","screenshot request","take screenshot"
"I want to capture the current screen display.","screenshot request","take screenshot"
"Could you take a screenshot right now?","screenshot request","take screenshot"
"Take a screenshot of this webpage, please.","screenshot request","take screenshot"
"Can you capture a screenshot of this app?","screenshot request","take screenshot"
"Please snap a screenshot of my current task.","screenshot request","take screenshot"
"Take a screenshot of the current window for me.","screenshot request","take screenshot"
"Can you save a screenshot of my desktop screen?","screenshot request","take screenshot"
"Please take a quick screenshot for me.","screenshot request","take screenshot"
"I need a screenshot of this document.","screenshot request","take screenshot"
"Can you take a screenshot of this image?","screenshot request","take screenshot"
"Please capture the screen and save it.","screenshot request","take screenshot"
"Take a screenshot and send it to me.","screenshot request","take screenshot"
"Can you take a screenshot of the video playing?","screenshot request","take screenshot"
"I want you to grab a screenshot of the current page.","screenshot request","take screenshot"
"Please take a screenshot of this section.","screenshot request","take screenshot"
"Can you take a snapshot of the screen right now?","screenshot request","take screenshot"
"Take a screenshot of everything on my screen.","screenshot request","take screenshot"
"I need you to take a screenshot of my settings.","screenshot request","take screenshot"
"Please capture a screenshot of this message.","screenshot request","take screenshot"
"Can you take a screenshot of the open file?","screenshot request","take screenshot"
"Take a screenshot of my current project.","screenshot request","take screenshot"
"Please snap a screenshot of the website I'm on.","screenshot request","take screenshot"
"Can you capture a screenshot of my calendar?","screenshot request","take screenshot"
"I want a screenshot of my recent activities.","screenshot request","take screenshot"
"Please take a screenshot of the notification bar.","screenshot request","take screenshot"
"Can you take a screenshot of my chat history?","screenshot request","take screenshot"
"Take a screenshot of this presentation, please.","screenshot request","take screenshot"
"Please capture the screen and copy it.","screenshot request","take screenshot"
"I need you to take a screenshot of this video conference.","screenshot request","take screenshot"
"Can you snap a screenshot of my current browser tab?","screenshot request","take screenshot"
"Take a screenshot of the email I'm viewing.","screenshot request","take screenshot"
"Please take a picture of the game I'm playing.","screenshot request","take screenshot"
"Can you capture a screenshot of this news article?","screenshot request","take screenshot"
"I want to take a screenshot of my shopping cart.","screenshot request","take screenshot"
"Please capture the entire screen for me.","screenshot request","take screenshot"
"Can you take a screenshot of the chat window?","screenshot request","take screenshot"
"Take a screenshot of my online class, please.","screenshot request","take screenshot"
"Please snap a screenshot of the app I'm using.","screenshot request","take screenshot"
"I need you to take a screenshot of my profile page.","screenshot request","take screenshot"
"Can you take a screenshot of the current document?","screenshot request","take screenshot"
"Take a screenshot of the task manager for me.","screenshot request","take screenshot"
"Please capture a screenshot of the error message.","screenshot request","take screenshot"
"Can you take a snapshot of my downloads folder?","screenshot request","take screenshot"
"Take a screenshot of the image I'm viewing now.","screenshot request","take screenshot"
"Can you generate a QR code for this link?","QR code request","create QR code"
"Please create a QR code for the URL I provide.","QR code request","create QR code"
"I need a QR code for this website link.","QR code request","create QR code"
"Can you make a QR code for this link?","QR code request","create QR code"
"Create a QR code for the following URL, please.","QR code request","create QR code"
"Generate a QR code for this address.","QR code request","create QR code"
"Please make a QR code from this link.","QR code request","create QR code"
"Can you create a QR code for this web address?","QR code request","create QR code"
"I want a QR code for the link I'm sharing.","QR code request","create QR code"
"Take this URL and turn it into a QR code.","QR code request","create QR code"
"Can you make a QR code out of this link?","QR code request","create QR code"
"Please generate a QR code for the link I'm providing.","QR code request","create QR code"
"I need a QR code created for this URL.","QR code request","create QR code"
"Make a QR code for this website link, please.","QR code request","create QR code"
"Can you create a QR code for this specific link?","QR code request","create QR code"
"Generate a QR code for this URL, if you can.","QR code request","create QR code"
"Please create a QR code based on this web address.","QR code request","create QR code"
"I want you to turn this link into a QR code.","QR code request","create QR code"
"Can you produce a QR code for the following URL?","QR code request","create QR code"
"Create a QR code for this link right away.","QR code request","create QR code"
"Please generate a QR code for this specific address.","QR code request","create QR code"
"Make a QR code for this link so I can scan it.","QR code request","create QR code"
"Can you create a QR code from this link?","QR code request","create QR code"
"I need a QR code for this URL to share with others.","QR code request","create QR code"
"Generate a QR code that links to this website.","QR code request","create QR code"
"Please create a QR code for this web link I have.","QR code request","create QR code"
"Can you generate a QR code for the URL I'm about to provide?","QR code request","create QR code"
"Make a QR code for this specific link for me.","QR code request","create QR code"
"Create a QR code for the link I just sent you.","QR code request","create QR code"
"Please generate a QR code for this website link I have.","QR code request","create QR code"
"Can you produce a QR code from this link?","QR code request","create QR code"
"I want you to make a QR code for this URL now.","QR code request","create QR code"
"Generate a QR code that points to this link, please.","QR code request","create QR code"
"Can you create a QR code for the following address?","QR code request","create QR code"
"Please create a QR code for this link as quickly as possible.","QR code request","create QR code"
"I need you to generate a QR code for this URL I found.","QR code request","create QR code"
"Make a QR code that represents this link.","QR code request","create QR code"
"Can you create a QR code for this address I need?","QR code request","create QR code"
"Generate a QR code for this link I'm sharing with you.","QR code request","create QR code"
"Please create a QR code that links to this website.","QR code request","create QR code"
"I need a QR code generated for this specific URL.","QR code request","create QR code"
"Make a QR code for this link so I can scan it easily.","QR code request","create QR code"
"Can you produce a QR code for the link I'm providing now?","QR code request","create QR code"
"Create a QR code for this website so I can use it later.","QR code request","create QR code"
"Please generate a QR code for the following link.","QR code request","create QR code"
"I want a QR code for this URL so I can share it.","QR code request","create QR code"
"Can you create a QR code based on this link for me?","QR code request","create QR code"
"Make a QR code for the link I've just provided you with.","QR code request","create QR code"
"Can you tell me a joke?","joke request","tell a joke"
"Please make me laugh with a joke.","joke request","tell a joke"
"I need to hear a funny joke.","joke request","tell a joke"
"Can you share a joke with me?","joke request","tell a joke"
"Tell me a joke to lighten the mood.","joke request","tell a joke"
"Do you know any good jokes?","joke request","tell a joke"
"Make me laugh with a funny joke.","joke request","tell a joke"
"What's a good joke you can tell?","joke request","tell a joke"
"Can you crack a joke for me?","joke request","tell a joke"
"Please tell me a hilarious joke.","joke request","tell a joke"
"I'd love to hear a joke right now.","joke request","tell a joke"
"Can you come up with a funny joke?","joke request","tell a joke"
"What's a joke that you know?","joke request","tell a joke"
"Give me a joke to brighten my day.","joke request","tell a joke"
"Can you tell me something funny?","joke request","tell a joke"
"Please share a joke that will make me laugh.","joke request","tell a joke"
"I want to hear a joke that will crack me up.","joke request","tell a joke"
"Can you tell a joke to cheer me up?","joke request","tell a joke"
"Tell me a lighthearted joke, please.","joke request","tell a joke"
"What's a funny joke you can share?","joke request","tell a joke"
"Do you have a joke that's worth sharing?","joke request","tell a joke"
"Can you share a quick joke with me?","joke request","tell a joke"
"Please tell me a punny joke.","joke request","tell a joke"
"I'd like to hear a classic joke.","joke request","tell a joke"
"Can you make me chuckle with a joke?","joke request","tell a joke"
"Please tell me a joke to make me smile.","joke request","tell a joke"
"Do you know any corny jokes?","joke request","tell a joke"
"Can you entertain me with a joke?","joke request","tell a joke"
"I want a joke that will make me laugh out loud.","joke request","tell a joke"
"Please share a silly joke with me.","joke request","tell a joke"
"Can you think of a funny joke to tell?","joke request","tell a joke"
"Give me a joke that I can share with friends.","joke request","tell a joke"
"Can you tell me a joke that always makes you laugh?","joke request","tell a joke"
"Please come up with a clever joke.","joke request","tell a joke"
"I'd like to hear a joke that has a twist.","joke request","tell a joke"
"What's a lighthearted joke you can think of?","joke request","tell a joke"
"Can you tell me a joke that makes no sense?","joke request","tell a joke"
"Please tell me a joke that kids would enjoy.","joke request","tell a joke"
"I need a funny one-liner joke right now.","joke request","tell a joke"
"Can you give me a joke that's not too long?","joke request","tell a joke"
"Tell me a joke that's appropriate for all ages.","joke request","tell a joke"
"Do you have a dad joke you can share?","joke request","tell a joke"
"Can you tell a joke about animals?","joke request","tell a joke"
"I want to hear a joke about work or school.","joke request","tell a joke"
"Please share a joke related to technology.","joke request","tell a joke"
"Can you tell me a joke about food?","joke request","tell a joke"
"What's a joke about friends or friendship?","joke request","tell a joke"
"Please tell me a joke that makes you giggle.","joke request","tell a joke"
"Can you come up with a witty joke for me?","joke request","tell a joke"
"Can you mute the volume, please?","volume control","mute volume"
"Please turn off the sound.","volume control","mute volume"
"Can you silence the audio?","volume control","mute volume"
"Please mute the sound for me.","volume control","mute volume"
"I need the volume muted now.","volume control","mute volume"
"Can you make it quiet?","volume control","mute volume"
"Please turn the volume down to zero.","volume control","mute volume"
"Can you disable the audio output?","volume control","mute volume"
"Please mute everything for a moment.","volume control","mute volume"
"Can you cut the sound completely?","volume control","mute volume"
"I want the volume muted immediately.","volume control","mute volume"
"Can you turn off the music?","volume control","mute volume"
"Please silence everything for a while.","volume control","mute volume"
"Can you lower the volume to silent?","volume control","mute volume"
"I'd like you to mute the speakers.","volume control","mute volume"
"Can you put the audio on mute?","volume control","mute volume"
"Please make it quiet around here.","volume control","mute volume"
"Can you stop the sound from playing?","volume control","mute volume"
"Please make sure the volume is off.","volume control","mute volume"
"Can you pause the audio output?","volume control","mute volume"
"I need to mute the system sounds.","volume control","mute volume"
"Can you silence my device, please?","volume control","mute volume"
"Please turn off the sound effects.","volume control","mute volume"
"Can you mute the notifications?","volume control","mute volume"
"I want the sound turned off now.","volume control","mute volume"
"Can you silence the background noise?","volume control","mute volume"
"Please disable all audio output.","volume control","mute volume"
"Can you put everything on mute?","volume control","mute volume"
"I need silence; can you mute it?","volume control","mute volume"
"Please stop all sound from playing.","volume control","mute volume"
"Can you mute the music player?","volume control","mute volume"
"Please turn off the audio for now.","volume control","mute volume"
"Can you make it so there's no sound?","volume control","mute volume"
"I'd like you to silence the device.","volume control","mute volume"
"Can you mute my microphone?","volume control","mute volume"
"Please ensure the volume is off.","volume control","mute volume"
"Can you turn the audio down to zero?","volume control","mute volume"
"I want you to mute the video now.","volume control","mute volume"
"Please stop the sound from coming through.","volume control","mute volume"
"Can you turn the speakers off?","volume control","mute volume"
"Please mute the entire system.","volume control","mute volume"
"Can you make it so I can’t hear anything?","volume control","mute volume"
"I need everything muted at once.","volume control","mute volume"
"Can you cut off the sound?","volume control","mute volume"
"Please silence my laptop.","volume control","mute volume"
"Can you make the audio go away?","volume control","mute volume"
"Please put my device on mute.","volume control","mute volume"
"I want to hear nothing right now.","volume control","mute volume"
"Can you turn off the sound effects completely?","volume control","mute volume"
